breakeven_shortfall_bps,cohort,common_rows,control_seed,coverage,crossed_bps,entry_half_spread_bps,exit_half_spread_bps,gross_midpoint_bps,horizon,latency,max_identity_error_bps,model,period,prediction_rows,selected_rows,symbol,undefined_reason,unit
8.2228778966197,monthly,1056564,,0.04199461651163583,-8.2228778966197,4.436289383127593,4.90265325845983,1.1160647449677228,20,1,2.1032064978498966e-12,xgboost,2017-06,1056564,44370,PKOBP,,bp
8.945725903196854,monthly,1056564,,0.04199461651163583,-8.945725903196854,4.6427198273334875,4.902647733166865,0.5996416573035029,20,5,2.1032064978498966e-12,xgboost,2017-06,1056564,44370,PKOBP,,bp
,monthly,1056564,7.0,0.0,,,,,20,0,2.1032064978498966e-12,xgboost,2017-06,1056564,0,PKOBP,no_threshold_selected_rows,bp
,monthly,1056564,7.0,0.0,,,,,20,1,2.1032064978498966e-12,xgboost,2017-06,1056564,0,PKOBP,no_threshold_selected_rows,bp
,monthly,1056564,7.0,0.0,,,,,20,5,2.1032064978498966e-12,xgboost,2017-06,1056564,0,PKOBP,no_threshold_selected_rows,bp
5.609917295447827,monthly,764588,,0.0002484998456685169,-5.609917295447827,2.3959713989670037,3.973273517544379,0.7593276210635838,20,0,2.0552448631860898e-12,linear,2017-09,764588,190,PKOBP,,bp
6.522139909882878,monthly,764588,,0.0002484998456685169,-6.522139909882878,2.8891814599349273,3.9730913460918558,0.3401328961438643,20,1,2.0552448631860898e-12,linear,2017-09,764588,190,PKOBP,,bp
7.143042666966781,monthly,764588,,0.0002484998456685169,-7.143042666966781,3.221999262305131,3.97299479263462,0.0519513879729212,20,5,2.0552448631860898e-12,linear,2017-09,764588,190,PKOBP,,bp
4.8355548803096635,monthly,764588,,0.05338038263744657,-4.8355548803096635,2.692399746635698,3.4140452364994895,1.270890102825539,20,0,2.0552448631860898e-12,xgboost,2017-09,764588,40814,PKOBP,,bp
5.273811167280989,monthly,764588,,0.05338038263744657,-5.273811167280989,2.8979850052444536,3.414051529751444,1.03822536771492,20,1,2.0552448631860898e-12,xgboost,2017-09,764588,40814,PKOBP,,bp
5.858838834291238,monthly,764588,,0.05338038263744657,-5.858838834291238,3.077691982943217,3.4140836672781156,0.6329368159300989,20,5,2.0552448631860898e-12,xgboost,2017-09,764588,40814,PKOBP,,bp
3.014127700647072,monthly,905401,,0.00046498733710256563,-3.014127700647072,1.367516615636329,2.7126097519950245,1.0659986669844606,20,0,1.8829382497642655e-12,linear,2017-11,905401,421,PKOBP,,bp
3.4770343763386786,monthly,905401,,0.00046498733710256563,-3.4770343763386786,1.6511528063112595,2.7125781550536123,0.8866965850263485,20,1,1.8829382497642655e-12,linear,2017-11,905401,421,PKOBP,,bp
4.193858988530281,monthly,905401,,0.00046498733710256563,-4.193858988530281,2.18136132796455,2.7126337007745165,0.7001360402088997,20,5,1.8829382497642655e-12,linear,2017-11,905401,421,PKOBP,,bp
5.812666502989901,monthly,905401,,0.0395206102047601,-5.812666502989901,3.24164790408012,3.6438891174483685,1.0728705185385932,20,0,1.8829382497642655e-12,xgboost,2017-11,905401,35782,PKOBP,,bp
6.2303611415782125,monthly,905401,,0.0395206102047601,-6.2303611415782125,3.419199409022576,3.643883498802589,0.832721766246958,20,1,1.8829382497642655e-12,xgboost,2017-11,905401,35782,PKOBP,,bp
