model,horizon,latency,metric,expected,defined,mean,median,positive,available_case_mean,cohort,mode
xgboost,10,5,entry_half_spread_bps,20,20,3.416754557712962,3.39646663326595,20,3.416754557712962,monthly,moving_exit
xgboost,20,0,entry_half_spread_bps,20,20,3.019810165758783,3.0478038632700644,20,3.019810165758783,monthly,moving_exit
xgboost,20,1,entry_half_spread_bps,20,20,3.2286822975248652,3.206816281737577,20,3.2286822975248652,monthly,moving_exit
xgboost,20,5,entry_half_spread_bps,20,20,3.3970274506117812,3.393968839269155,20,3.3970274506117812,monthly,moving_exit
xgboost,50,0,entry_half_spread_bps,20,20,4.0559827059802895,4.1055898226150855,20,4.0559827059802895,monthly,moving_exit
xgboost,50,1,entry_half_spread_bps,20,20,4.119234449728357,4.17439275416139,20,4.119234449728357,monthly,moving_exit
xgboost,50,5,entry_half_spread_bps,20,20,4.190664434692997,4.235188695681576,20,4.190664434692997,monthly,moving_exit
linear,10,0,exit_half_spread_bps,20,20,4.639279790633721,4.529581518156362,20,4.639279790633721,monthly,moving_exit
linear,10,1,exit_half_spread_bps,20,20,4.720778869623248,4.632756213350996,20,4.720778869623248,monthly,moving_exit
linear,10,5,exit_half_spread_bps,20,20,4.954333454783895,4.68029380992817,20,4.954333454783895,monthly,moving_exit
linear,20,0,exit_half_spread_bps,20,20,3.64078136318698,3.5642417188717825,20,3.64078136318698,monthly,moving_exit
linear,20,1,exit_half_spread_bps,20,20,3.7091925349722614,3.594922394714221,20,3.7091925349722614,monthly,moving_exit
linear,20,5,exit_half_spread_bps,20,20,3.7324635465579385,3.6484240928398206,20,3.7324635465579385,monthly,moving_exit
linear,50,0,exit_half_spread_bps,20,20,4.207362038191225,4.246831943742513,20,4.207362038191225,monthly,moving_exit
linear,50,1,exit_half_spread_bps,20,20,4.210396081022989,4.248752864497005,20,4.210396081022989,monthly,moving_exit
linear,50,5,exit_half_spread_bps,20,20,4.221774419013273,4.255848186363582,20,4.221774419013273,monthly,moving_exit
xgboost,10,0,exit_half_spread_bps,20,20,3.5143549981864646,3.474011768553007,20,3.5143549981864646,monthly,moving_exit
xgboost,10,1,exit_half_spread_bps,20,20,3.5318932267839953,3.4866564606641623,20,3.5318932267839953,monthly,moving_exit
xgboost,10,5,exit_half_spread_bps,20,20,3.58526645427985,3.535930163689343,20,3.58526645427985,monthly,moving_exit
xgboost,20,0,exit_half_spread_bps,20,20,3.665176612831459,3.6804516412108157,20,3.665176612831459,monthly,moving_exit
xgboost,20,1,exit_half_spread_bps,20,20,3.679067997015495,3.690351851174667,20,3.679067997015495,monthly,moving_exit
xgboost,20,5,exit_half_spread_bps,20,20,3.726559949953309,3.723871360192885,20,3.726559949953309,monthly,moving_exit
xgboost,50,0,exit_half_spread_bps,20,20,4.395054424465137,4.389784112005504,20,4.395054424465137,monthly,moving_exit
xgboost,50,1,exit_half_spread_bps,20,20,4.396630703696839,4.392131874287684,20,4.396630703696839,monthly,moving_exit
xgboost,50,5,exit_half_spread_bps,20,20,4.4023873911676565,4.3966811130603425,20,4.4023873911676565,monthly,moving_exit
linear,10,0,crossed_bps,20,20,-7.909954570695083,-7.044887703593046,0,-7.909954570695083,monthly,moving_exit
linear,10,1,crossed_bps,20,20,-8.760892743824497,-8.43714742277817,0,-8.760892743824497,monthly,moving_exit
linear,10,5,crossed_bps,20,20,-9.500167069493838,-9.431933045834818,0,-9.500167069493838,monthly,moving_exit
linear,20,0,crossed_bps,20,20,-5.113114769467011,-4.783034634409672,0,-5.113114769467011,monthly,moving_exit
linear,20,1,crossed_bps,20,20,-5.839437846819143,-5.396263841088979,0,-5.839437846819143,monthly,moving_exit
linear,20,5,crossed_bps,20,20,-6.209673288423408,-5.910801774659554,0,-6.209673288423408,monthly,moving_exit
linear,50,0,crossed_bps,20,20,-6.517549349771556,-6.563340894998705,0,-6.517549349771556,monthly,moving_exit
linear,50,1,crossed_bps,20,20,-6.719395710817888,-6.751264523343481,0,-6.719395710817888,monthly,moving_exit
linear,50,5,crossed_bps,20,20,-7.083172956080735,-7.119210099922506,0,-7.083172956080735,monthly,moving_exit
xgboost,10,0,crossed_bps,20,20,-5.000174438780287,-4.99116094590936,0,-5.000174438780287,monthly,moving_exit
xgboost,10,1,crossed_bps,20,20,-5.914086054052542,-5.84126279000486,0,-5.914086054052542,monthly,moving_exit
xgboost,10,5,crossed_bps,20,20,-6.519486532902448,-6.4258272777257535,0,-6.519486532902448,monthly,moving_exit
xgboost,20,0,crossed_bps,20,20,-5.363776299697286,-5.381798047765036,0,-5.363776299697286,monthly,moving_exit
xgboost,20,1,crossed_bps,20,20,-5.818927040047299,-5.808648051813268,0,-5.818927040047299,monthly,moving_exit
xgboost,20,5,crossed_bps,20,20,-6.3712649622530835,-6.384528492714567,0,-6.3712649622530835,monthly,moving_exit
xgboost,50,0,crossed_bps,20,20,-7.072216743597569,-7.009107536159747,0,-7.072216743597569,monthly,moving_exit
xgboost,50,1,crossed_bps,20,20,-7.248324528512727,-7.194201354393168,0,-7.248324528512727,monthly,moving_exit
xgboost,50,5,crossed_bps,20,20,-7.591174004830963,-7.585823655895309,0,-7.591174004830963,monthly,moving_exit
linear,10,0,coverage,20,20,7.25569746656124e-05,3.01925666255842e-05,20,7.25569746656124e-05,monthly,moving_exit
linear,10,1,coverage,20,20,7.25569746656124e-05,3.01925666255842e-05,20,7.25569746656124e-05,monthly,moving_exit
